행 레이블,합계 : 승차총승객수
신내,28
6호선,28
도림천,40561
2호선,40561
남태령,44709
4호선,44709
신답,52486
2호선,52486
구반포,62018
9호선,62018
버티고개,69173
6호선,69173
개화,74291
9호선,74291
용두(동대문구청),75654
2호선,75654
독바위,79736
6호선,79736
장암,84916
7호선,84916
공항시장,86281
9호선,86281
학여울,88567
3호선,88567
용답,92131
2호선,92131
한성백제,104291
9호선2~3단계,104291
창신,110639
6호선,110639
동작(현충원),115812
9호선,61784
4호선,54028
역촌,120278
6호선,120278
무악재,128917
3호선,128917
사평,135151
9호선,135151
신목동,139221
9호선,139221
둔촌오륜,143117
9호선2~3단계,143117
하남풍산,147890
5호선,147890
노들,149350
9호선,149350
신반포,150315
9호선,150315
월드컵경기장(성산),151976
6호선,151976
신길,153470
5호선,153470
모란,162663
8호선,162663
신흥,170102
8호선,170102
녹사평(용산구청),172647
6호선,172647
수진,174494
8호선,174494
용마산(용마폭포공원),175670
7호선,175670
강일,188692
5호선,188692
개화산,188860
5호선,188860
산성,189810
8호선,189810
마장,191203
5호선,191203
도곡,191608
3호선,191608
신금호,194391
5호선,194391
송파나루,199011
9호선2~3단계,199011
송정,199195
5호선,199195
샛강,199737
9호선,199737
개롱,200197
5호선,200197
상월곡(한국과학기술연구원),201842
6호선,201842
보라매,205516
7호선,205516
애오개,206739
5호선,206739
양천구청,208681
2호선,208681
암사역사공원,211029
8호선,211029
신방화,213662
9호선,213662
반포,215281
7호선,215281
방화,216241
5호선,216241
하남검단산,218094
5호선,218094
마천,220543
5호선,220543
청구,221420
6호선,116213
5호선,105207
잠원,223914
3호선,223914
경찰병원,226808
3호선,226808
지축,230038
3호선,230038
몽촌토성(평화의문),233717
8호선,233717
석촌고분,234435
9호선2~3단계,234435
효창공원앞,234490
6호선,234490
방이,235631
5호선,235631
증미,236901
9호선,236901
남위례,237270
8호선,237270
삼성중앙,245041
9호선2~3단계,245041
독립문,247901
3호선,247901
행당,248051
5호선,248051
양평,250831
5호선,250831
금호,251499
3호선,251499
구산,251708
6호선,251708
보문,255032
6호선,255032
명일,259969
5호선,259969
자양(뚝섬한강공원),260130
7호선,260130
봉화산(서울의료원),261118
6호선,261118
삼전,261533
9호선2~3단계,261533
도봉산,268421
7호선,268421
선유도,271153
9호선,271153
고려대(종암),276896
6호선,276896
하남시청(덕풍·신장),277783
5호선,277783
옥수,280593
3호선,280593
길동,284440
5호선,284440
증산(명지대앞),287803
6호선,287803
흑석(중앙대입구),294412
9호선,294412
광흥창(서강),294582
6호선,294582
온수(성공회대입구),295913
7호선,295913
불암산,296345
4호선,296345
복정,296540
8호선,296540
대흥(서강대앞),297085
6호선,297085
장승배기,298019
7호선,298019
선정릉,302496
9호선2~3단계,302496
오금,310247
3호선,197081
5호선,113166
송파,312305
8호선,312305
거여,312330
5호선,312330
한강진,316732
6호선,316732
신정네거리,317464
2호선,317464
굽은다리(강동구민회관앞),319869
5호선,319869
먹골,319932
7호선,319932
고덕,325700
5호선,325700
양천향교,327764
9호선,327764
강동구청,332195
8호선,332195
대청,334843
3호선,334843
여의나루,341408
5호선,341408
중화,343427
7호선,343427
중곡,343566
7호선,343566
남성,346520
7호선,346520
일원,347121
3호선,347121
상수,348527
6호선,348527
아현,348632
2호선,348632
광나루(장신대),350236
5호선,350236
동대입구,350644
3호선,350644
화랑대(서울여대입구),352797
6호선,352797
언주,354752
9호선2~3단계,354752
천왕,360369
7호선,360369
한양대,360868
2호선,360868
월곡(동덕여대),364266
6호선,364266
대치,364278
3호선,364278
돌곶이,369287
6호선,369287
이촌(국립중앙박물관),370862
4호선,370862
신풍,371694
7호선,371694
단대오거리,373012
8호선,373012
상도,376018
7호선,376018
영등포시장,384172
5호선,384172
새절(신사),387019
6호선,387019
공릉(서울과학기술대),387603
7호선,387603
등촌,389411
9호선,389411
이태원,390144
6호선,390144
석계,390326
6호선,390326
매봉,390741
3호선,390741
중앙보훈병원,391934
9호선2~3단계,391934
수락산,396869
7호선,396869
남한산성입구(성남법원.검찰청),400304
8호선,400304
마들,412303
7호선,412303
숭실대입구(살피재),412594
7호선,412594
안암(고대병원앞),414436
6호선,414436
신정(은행정),417352
5호선,417352
둔촌동,421213
5호선,421213
디지털미디어시티,434921
6호선,434921
남구로,441284
7호선,441284
내방,445114
7호선,445114
잠실나루,450002
2호선,450002
상왕십리,450414
2호선,450414
중계,451708
